http://www.electoralgeography.com/ru/countries/r/russia/1996-president-elections-russia.html

	Первый тур 	Второй тур
Ельцин Б.Н. 	Зюганов Г.А. 	Лебедь А.И. 	Явлинский Г.А. 	Жириновский В.В. 	Ельцин Б.Н. 	Зюганов Г.А. 	против всех
Саратовская область 	28,38 	41,59 	12,76 	5,28 	7,09 	44,08 	49,94 	4,86
Сахалинская область 	29,86 	26,91 	18,67 	9,26 	9,06 	53,38 	38,81 	6,84
Свердловская область 	59,45 	11,66 	14,18 	5,36 	4,88 	76,92 	17,89 	4,39
Смоленская область 	21,98 	44,57 	15,92 	5,11 	8,33 	38,15 	56,25 	4,78
Тамбовская область 	20,91 	52,26 	11,71 	4,63 	6,1 	32,57 	62,85 	3,7
Тверская область 	32,11 	33,59 	17,14 	6,95 	5,52 	50,16 	43,65 	5,49
Томская область 	34,95 	22,13 	19,69 	10,9 	7,11 	59,17 	33,69 	6,05
Тульская область 	29,96 	30,23 	24,03 	6,59 	4,58 	52,42 	41,13 	5,37
Тюменская область 	39,07 	27,31 	13,28 	5,7 	9,38 	55,82 	38,16 	4,96
Ульяновская область 	23,78 	45,83 	12,34 	5,91 	7,38 	37,83 	56,28 	4,64
Челябинская область 	36,6 	24,73 	19,82 	8,77 	5,23 	58,52 	34,96 	5,3
Читинская область 	24,54 	39,12 	11,7 	5,49 	12,95 	40,89 	52,5 	5,33
Ярославская область 	32,93 	18,2 	31 	8,32 	4,84 	60,53 	31,51 	7,18
Город Москва 	61,16 	14,85 	9,62 	7,96 	1,46 	77,29 	17,93 	4,13
Город Санкт-Петербург 	49,6 	14,94 	14,01 	15,15 	2,15 	73,86 	21,09 	4,73
Еврейская автономная область 	30,36 	32,84 	15,3 	6,45 	7,99 	49,43 	43,68 	5,76
Агинский Бурятский автоном. округ 	44,73 	35,74 	5,34 	2,6 	5,68 	49,16 	47,23 	2,04
Коми-Пермяцкий АО 	53,29 	23,71 	5,45 	3 	8,51 	62,78 	32,58 	3,39
Корякский АО 	45,99 	14,97 	15,79 	8,93 	6,5 	69,78 	22,9 	6,16
Ненецкий автономный округ 	42,64 	18,37 	11,98 	7,64 	9,93 	61,54 	28,89 	8,39
Таймырский АО 	49,7 	12,14 	14,98 	6,5 	10,12 	71,62 	21,57 	6,06
Усть-Ордынский Бурятский а. округ 	36,99 	40,01 	8,54 	3,96 	4,56 	48,67 	47 	2,7
Ханты-Мансийский а. округ 	52,53 	12,82 	15,14 	6,61 	7,59 	74,24 	20,2 	4,57
Чукотский АО 	48,49 	13,5 	17,06 	6,37 	7,56 	74,29 	19,14 	6,03
Эвенкийский АО 	43,42 	20 	16,41 	6,29 	7,05 	65,76 	28,33 	5,1
Ямало-Ненецкий АО 	55,26 	9,18 	15,76 	6,25 	7,57 	79,28 	15,18 	4,73
РОССИЯ 	35,28 	32,03 	14,52 	7,34 	5,7 	53,82 	40,31 	4,82
