https://www.electoralgeography.com/new/ru/countries/r/russia/russia-presidential-election-1991.html

Россия Россия. Президентские выборы 1991

Автор: Alex Kireev

Результаты выборов в разрезе ТИК
Регион 	N избира- телей, т.ч. 	Участие, % 	Бакатин 	Ельцин 	Жири- новский 	Макашов 	Рыжков 	Тулеев 	Против всех, % 	Недейств,,  %
Новгородская 	582,1 	77,6 	3,9 	46,7 	9,3 	4,7 	21,3 	9,5 	2,2 	2,3
Новосибирская 	1990,9 	73,6 	3,1 	57,1 	7,9 	2 	18,6 	7 	1,7 	2,6
Омская 	1476,5 	79,4 	3,1 	53,3 	13,5 	2,5 	16,3 	6,8 	3,1 	1,6
Оренбургская 	1518,3 	79,2 	3 	57,2 	8,2 	4,4 	19,5 	4,5 	1,4 	1,9
Орловская 	675,3 	82,4 	2,7 	53 	9,3 	5,9 	19,6 	5,6 	2,1 	1,9
Пензенская 	1142 	84,1 	2 	61,3 	7 	3,7 	15,1 	6,6 	1,6 	2,8
Пермская 	1973,6 	73,5 	4,5 	71,1 	5 	2,8 	10,6 	2 	1,2 	2,8
Псковская 	653,7 	82,6 	3,2 	33,8 	14,8 	6,7 	28,4 	9,4 	2,1 	1,6
Ростовская 	3187,4 	77,3 	3,1 	53,5 	11,6 	4,9 	17,8 	6,5 	1,7 	1
Рязанская 	1021,9 	81,5 	2,7 	52,6 	9 	5,6 	20,7 	5,6 	2,2 	1,5
Самарская 	2381,3 	76,3 	2,1 	68 	3,8 	4,5 	13,6 	4,7 	1,5 	1,8
Саратовская 	1991,6 	79 	2,6 	55,7 	7,9 	4,8 	18,7 	7,2 	1,7 	1,4
Сахалинская 	492,6 	70 	5 	54,9 	8,1 	3,8 	18,2 	5,5 	2,6 	1,8
Свердловская 	3412,3 	78,9 	1,2 	84,8 	4,4 	1,8 	4,5 	1,4 	0,9 	0,9
Смоленская 	861,2 	82,5 	2,7 	37,6 	9,4 	6,9 	33,5 	6,8 	1,8 	1,3
Тамбовская 	979,8 	81,9 	2,8 	44,6 	12,1 	4 	24,8 	7,4 	2,1 	2,2
Тверская 	1271,6 	80,4 	3,6 	43,7 	10,9 	4,1 	24,8 	9,1 	2,3 	1,5
Томская 	729,4 	72,1 	2,7 	61,1 	6,9 	1,5 	14,7 	9,2 	2,2 	1,6
Тульская 	1449,6 	78,2 	2,3 	64 	6,2 	3,2 	14,7 	5,9 	1,7 	2,1
