https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8

# 	Субъект
РФ 	15.I.
1959
[4] 	15.I.
1970
[5] 	17.I.
1979
[6] 	12.I.
1989
[7] 	9.X.
2002
[8] 	14.X.
2010
[9] 	1.I.
2013
[10] 	1.I.
2014
[11] 	1.I.
2015
[12] 	1.I.
2016
[13] 	1.I.
2017
[14]
36 	Хабаровский край[25] 	979679 	1173458 	1375752 	1608569 	1436570 	1343869 	1342083 	1339912 	1338305 	1334552 	1333294
37 	Тверская область 	1806787 	1717237 	1649022 	1670117 	1471459 	1353392 	1334061 	1325249 	1315071 	1304744 	1296799
38 	Кировская область 	1913600 	1727348 	1661546 	1692655 	1503529 	1341312 	1319076 	1310929 	1304348 	1297474 	1291684
39 	Ярославская область 	1395627 	1400224 	1424806 	1470357 	1367398 	1272468 	1271672 	1271766 	1271629 	1271912 	1270736
40 	Ульяновская область 	1117359 	1224748 	1270036 	1400806 	1382811 	1292799 	1274487 	1267561 	1262549 	1257621 	1252887
41 	Чувашская Республика 	1097859 	1223675 	1292486 	1336066 	1313754 	1251619 	1243431 	1239984 	1238071 	1236628 	1235863
42 	Брянская область 	1549945 	1581950 	1506850 	1474785 	1378941 	1278217 	1253666 	1242599 	1232940 	1225741 	1220530
43 	Вологодская область 	1307531 	1295897 	1309799 	1353870 	1269568 	1202444 	1196196 	1193371 	1191010 	1187685 	1183860
44 	Архангельская область[26] 	1267186 	1401289 	1467069 	1570256 	1336539 	1227626 	1202295 	1191785 	1183323 	1174078 	1165750
45 	Липецкая область 	1141567 	1224344 	1224653 	1230220 	1213499 	1173513 	1162235 	1159866 	1157865 	1156093 	1156221
46 	Рязанская область 	1444755 	1411590 	1361839 	1345924 	1227910 	1154114 	1144650 	1140844 	1135438 	1130103 	1126739
