https://www.electoralgeography.com/new/ru/countries/r/russia/russia-legislative-election-1993.html


Основная RSS-лентаВыборы » Россия » Россия. Парламентские выборы 1993
Россия Россия. Парламентские выборы 1993

Автор: Alex Kireev

Результаты выборов в формате .xls
Регионы 	АПР 	ЯБЛоко 	ВР 	ДПР 	КПРФ 	ЛДПР 	ПР 	ЖР 	РДДР
Нижегородская 	9,11% 	12,23% 	13,96% 	7,08% 	11,58% 	19,91% 	5,65% 	9,73% 	4,36%
Новгородская 	6,91% 	7,61% 	13,21% 	6,14% 	9,25% 	29,60% 	10,08% 	9,52% 	2,74%
Новосибирская 	8,69% 	12,23% 	12,06% 	7,25% 	11,44% 	25,64% 	5,61% 	7,78% 	4,70%
Омская 	8,53% 	4,85% 	16,95% 	6,30% 	13,93% 	21,19% 	5,42% 	10,72% 	5,77%
Оренбургская 	17,79% 	5,94% 	13,16% 	5,82% 	13,20% 	22,55% 	5,59% 	7,82% 	3,54%
Орловская 	7,03% 	4,13% 	9,58% 	5,48% 	25,69% 	31,80% 	4,69% 	6,04% 	2,31%
Пензенская 	10,40% 	6,95% 	8,56% 	4,71% 	19,49% 	32,56% 	4,69% 	7,16% 	1,99%
Пермская 	4,86% 	8,24% 	27,12% 	5,00% 	6,91% 	14,81% 	9,85% 	12,24% 	4,92%
Псковская 	8,94% 	5,62% 	10,13% 	4,06% 	9,50% 	43,01% 	4,88% 	8,23% 	2,15%
Ростовская 	7,52% 	7,44% 	12,30% 	6,24% 	17,31% 	22,28% 	12,11% 	8,26% 	2,86%
Рязанская 	10,33% 	5,68% 	12,01% 	7,35% 	14,25% 	30,84% 	4,98% 	7,43% 	2,23%
Самарская 	6,33% 	8,75% 	16,26% 	6,74% 	16,44% 	19,67% 	5,74% 	10,09% 	4,77%
Саратовская 	7,64% 	8,59% 	12,30% 	6,45% 	15,28% 	26,63% 	5,68% 	9,90% 	2,53%
Сахалинская 	1,43% 	7,62% 	9,60% 	6,55% 	8,91% 	36,86% 	8,35% 	10,43% 	4,24%
Свердловская 	3,97% 	8,17% 	25,20% 	5,51% 	5,79% 	17,72% 	9,81% 	8,38% 	9,40%
Смоленская 	13,05% 	4,69% 	11,39% 	5,74% 	16,15% 	32,63% 	4,09% 	6,43% 	1,84%
Тамбовская 	9,83% 	5,32% 	9,27% 	5,86% 	16,86% 	35,32% 	5,19% 	6,34% 	2,14%
Тверская 	13,87% 	6,04% 	14,13% 	7,71% 	12,46% 	25,48% 	5,65% 	7,72% 	3,09%
Томская 	4,49% 	11,81% 	22,06% 	5,68% 	10,05% 	21,90% 	5,01% 	8,86% 	5,42%
Тульская 	6,56% 	8,66% 	14,69% 	5,56% 	12,00% 	30,35% 	6,32% 	8,24% 	2,93%
Тюменская 	10,57% 	5,90% 	13,44% 	6,34% 	11,03% 	21,03% 	6,72% 	14,77% 	4,63%
Ульяновсккая 	13,98% 	4,78% 	12,23% 	5,52% 	17,50% 	24,57% 	6,17% 	8,04% 	3,00%
Челябинская 	4,06% 	11,34% 	23,58% 	4,69% 	7,49% 	20,38% 	6,77% 	8,52% 	5,84%
Читинская 	8,40% 	4,50% 	10,92% 	7,61% 	11,54% 	30,49% 	6,72% 	9,96% 	2,97%
Ярославская 	7,51% 	7,34% 	22,31% 	5,72% 	8,14% 	21,66% 	6,29% 	11,01% 	4,01%
Москва 	1,43% 	12,08% 	34,73% 	5,56% 	11,03% 	12,82% 	6,48% 	4,35% 	7,20%
Санкт-Петербург 	0,89% 	21,20% 	26,99% 	3,98% 	7,69% 	18,02% 	3,74% 	5,04% 	9,03%
Еврейская 	5,01% 	4,86% 	15,38% 	5,92% 	12,26% 	24,96% 	6,41% 	14,92% 	3,60%
Агинский-Бурятский 	21,49% 	4,00% 	9,50% 	5,65% 	9,75% 	14,38% 	19,22% 	9,02% 	1,66%
Коми-Пермяцкий 	12,22% 	3,16% 	17,68% 	5,24% 	6,76% 	19,38% 	11,33% 	13,52% 	2,96%
Корякский 	1,50% 	11,92% 	14,88% 	7,81% 	7,30% 	24,07% 	9,58% 	12,51% 	3,98%
Ненецкий 	3,19% 	6,65% 	19,84% 	7,36% 	6,48% 	19,15% 	9,62% 	10,88% 	4,70%
Таймырский 	1,04% 	7,85% 	27,99% 	6,58% 	4,67% 	17,37% 	13,46% 	9,64% 	6,09%
Усть-Ордынский 	25,28% 	2,14% 	10,02% 	3,58% 	11,86% 	14,35% 	13,25% 	12,34% 	3,17%
Ханты-Мансийский 	1,04% 	8,24% 	23,66% 	6,37% 	4,63% 	21,25% 	9,52% 	12,20% 	8,37%
Чукотский 	0,97% 	12,25% 	14,40% 	8,70% 	6,60% 	23,32% 	9,49% 	11,42% 	6,72%
Эвенкийский 	3,58% 	7,94% 	15,36% 	7,32% 	7,45% 	20,94% 	10,48% 	17,39% 	4,29%
Ямало-Ненецкий 	1,14% 	9,11% 	19,37% 	6,69% 	3,99% 	19,57% 	7,83% 	19,12% 	7,34%
Сумма 	7,99% 	7,86% 	15,51% 	5,52% 	12,40% 	22,92% 	6,73% 	8,13% 	4,08%
